epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.835,1.22673,3.48253,1.62882,0.5945,0.08219,0.13555,0.09515,0.87549,3.64199,1.2727,0.000270725,0.000270725,0.000270725
2,436.308,1.22218,2.81959,1.64305,0.40536,0.26259,0.2497,0.16075,1.16761,3.30996,1.59211,0.000537534,0.000537534,0.000537534
3,661.171,1.29099,2.52699,1.67481,0.19262,0.46323,0.21276,0.13099,1.39058,3.33331,1.76497,0.000793346,0.000793346,0.000793346
4,879.083,1.29526,2.39338,1.65689,0.37729,0.33978,0.31393,0.19607,1.36816,3.22343,1.73027,0.00078352,0.00078352,0.00078352
5,1085.28,1.30822,2.30873,1.68034,0.45353,0.44132,0.41031,0.248,1.2534,2.96974,1.70661,0.000767026,0.000767026,0.000767026
6,1290.18,1.25947,2.26146,1.65743,0.35398,0.34578,0.28248,0.19251,1.28075,3.18897,1.75946,0.000750533,0.000750533,0.000750533
7,1495.37,1.24297,2.04777,1.60523,0.45635,0.5164,0.47465,0.30606,1.18591,2.54613,1.55181,0.00073404,0.00073404,0.00073404
8,1701.13,1.25206,2.06043,1.64687,0.62542,0.48472,0.52128,0.34888,1.13951,2.37478,1.53242,0.000717546,0.000717546,0.000717546
9,1899.89,1.2042,1.94182,1.58578,0.46456,0.48092,0.41189,0.25861,1.23917,2.73713,1.61175,0.000701053,0.000701053,0.000701053
10,2100.8,1.17325,1.91393,1.57406,0.57873,0.43902,0.48185,0.3156,1.22206,2.26094,1.6236,0.000684559,0.000684559,0.000684559
11,2299.12,1.15361,1.85933,1.5597,0.4733,0.50707,0.46937,0.32998,1.0339,2.25207,1.44701,0.000668066,0.000668066,0.000668066
12,2499.4,1.1545,1.78736,1.54123,0.54468,0.4454,0.48512,0.32932,1.09339,2.29723,1.49742,0.000651573,0.000651573,0.000651573
13,2698.34,1.1385,1.77822,1.52791,0.67118,0.51948,0.62083,0.4425,1.04641,1.8894,1.46958,0.000635079,0.000635079,0.000635079
14,2900.34,1.09721,1.6732,1.51007,0.50073,0.6569,0.57286,0.39542,1.03264,2.02418,1.47706,0.000618586,0.000618586,0.000618586
15,3100.78,1.11073,1.63112,1.51325,0.61301,0.52523,0.59665,0.43022,1.016,1.95346,1.42799,0.000602092,0.000602092,0.000602092
16,3299.72,1.08613,1.60888,1.49889,0.56936,0.54088,0.53554,0.38394,1.03083,2.0125,1.47738,0.000585599,0.000585599,0.000585599
17,3501.29,1.08232,1.55675,1.49854,0.68558,0.58945,0.61283,0.43814,0.99953,1.90522,1.45067,0.000569106,0.000569106,0.000569106
18,3704.15,1.08739,1.55711,1.48576,0.51528,0.51383,0.51855,0.37624,1.02183,1.89692,1.45939,0.000552612,0.000552612,0.000552612
19,3918.16,1.037,1.52171,1.4615,0.55947,0.56046,0.5605,0.42221,0.96353,1.76463,1.45129,0.000536119,0.000536119,0.000536119
20,4129.06,1.01447,1.47055,1.44569,0.56743,0.59127,0.56402,0.42198,0.96981,1.83566,1.40624,0.000519625,0.000519625,0.000519625
21,4340.9,1.04006,1.465,1.44137,0.62067,0.58299,0.61224,0.43785,0.96256,1.58037,1.38181,0.000503132,0.000503132,0.000503132
22,4558.52,1.00486,1.43305,1.43864,0.59329,0.49204,0.57387,0.40367,1.02394,2.03329,1.45746,0.000486639,0.000486639,0.000486639
23,4771.76,1.03592,1.43803,1.46255,0.54867,0.60948,0.60574,0.44694,0.90506,1.62794,1.33624,0.000470145,0.000470145,0.000470145
24,4982.59,0.99303,1.37663,1.42022,0.53679,0.60908,0.6336,0.46784,0.95409,1.643,1.40707,0.000453652,0.000453652,0.000453652
25,5197.73,0.99682,1.34778,1.43209,0.63455,0.5924,0.62095,0.46627,0.93637,1.61089,1.37814,0.000437158,0.000437158,0.000437158
26,5410.85,0.96753,1.30761,1.40509,0.59496,0.52456,0.57711,0.41877,0.92025,1.67271,1.38399,0.000420665,0.000420665,0.000420665
27,5626.26,0.97978,1.29099,1.40072,0.63102,0.56837,0.63749,0.46616,0.96001,1.50475,1.36496,0.000404172,0.000404172,0.000404172
28,5838.53,0.92312,1.22162,1.36957,0.69762,0.53902,0.60836,0.45217,0.98256,1.68334,1.41988,0.000387678,0.000387678,0.000387678
